product_name,category,description,price,link
Classic White Crewneck Tee,TOPS,"Plain white crew neck t-shirt made of soft cotton jersey fabric with a smooth, unadorned surface and a classic standard fit.",18,https://example.com/product/classic-white-tee
Slim Fit Black Blazer,OUTERWEAR,"Black single-breasted blazer featuring notch lapels, a single front button closure, long sleeves, structured shoulders, and a classic tailored fit in matte-finish woven fabric.",149,https://example.com/product/slim-black-blazer
Straight Leg Blue Jeans,BOTTOMS,"Medium-wash blue denim jeans with a straight-leg cut, mid-rise waist, and standard classic jean construction.",68,https://example.com/product/straight-blue-jeans
Floral Print Maxi Dress,DRESSES_JUMPSUITS,"Flowing floral print maxi dress in a boho chic style with bold floral patterns, long flowing silhouette, ideal for garden parties or festivals.",89,https://example.com/product/floral-maxi-dress
Black Leather Loafers,SHOES,"Black leather loafers with a rounded toe, low stacked heel, and a smooth polished finish suitable for both casual and formal wear.",120,https://example.com/product/black-loafers
Camel Wool Overcoat,OUTERWEAR,"Camel-colored wool overcoat with a double-breasted front, notched lapels, and a knee-length structured silhouette.",210,https://example.com/product/camel-overcoat
High-Waisted Trouser Pants,BOTTOMS,"Tailored high-waisted trouser pants in charcoal grey with a straight leg and a crisp pressed crease.",75,https://example.com/product/charcoal-trousers
Silk Slip Dress,DRESSES_JUMPSUITS,"Elegant silk slip dress in emerald green with a bias cut, thin adjustable straps, and a midi length hem.",135,https://example.com/product/silk-slip-dress
White Button-Down Shirt,TOPS,"Crisp white cotton button-down shirt with a spread collar, long sleeves, and a relaxed tailored fit.",55,https://example.com/product/white-button-down
Chunky Knit Cardigan,OUTERWEAR,"Oversized chunky knit cardigan in oatmeal beige with a shawl collar and front button closure.",92,https://example.com/product/chunky-cardigan
Black Ankle Boots,SHOES,"Black leather ankle boots with a block heel, side zip closure, and a rounded almond toe.",145,https://example.com/product/black-ankle-boots
Denim Jacket Classic Wash,OUTERWEAR,"Classic blue denim jacket with a button front, chest flap pockets, and a slightly cropped fit.",78,https://example.com/product/denim-jacket
Pleated Midi Skirt,BOTTOMS,"Sage green pleated midi skirt in lightweight chiffon with an elastic waistband and flowing A-line silhouette.",64,https://example.com/product/pleated-midi-skirt
Formal Black Jumpsuit,DRESSES_JUMPSUITS,"Sleek black jumpsuit with wide-leg trousers, a fitted bodice, and a deep V neckline, suitable for formal evening events.",110,https://example.com/product/black-jumpsuit
White Canvas Sneakers,SHOES,"Minimalist white canvas low-top sneakers with a rubber sole and classic lace-up front.",65,https://example.com/product/white-sneakers
Striped Cotton Sweater,TOPS,"Navy and white striped cotton knit sweater with a crew neck and relaxed long sleeves.",58,https://example.com/product/striped-sweater
Leather Moto Jacket,OUTERWEAR,"Black faux leather moto jacket with an asymmetric front zip, notched lapel, and fitted silhouette.",165,https://example.com/product/moto-jacket
Wide Leg Linen Pants,BOTTOMS,"Flowy wide-leg linen pants in cream with a high waist and relaxed breathable fit, ideal for warm weather.",70,https://example.com/product/linen-pants
Emerald Green Cocktail Dress,DRESSES_JUMPSUITS,"Fitted emerald green cocktail dress with a sweetheart neckline, knee-length hem, and subtle stretch fabric.",98,https://example.com/product/emerald-cocktail-dress
Beige Trench Coat,OUTERWEAR,"Classic beige trench coat with a belted waist, double-breasted button front, and knee-length silhouette.",175,https://example.com/product/beige-trench-coat
